time,latitude,longitude,height
540.2110801,52.829658,0.7135112,204.998
540.3246,52.8296495,0.7135499,205.297
540.40025,52.8296408,0.7135886,205.601
540.51372,52.829632,0.7136272,205.851
540.6271801,52.8296229,0.7136659,206.172
540.7028401,52.8296136,0.7137047,206.394
540.8163002,52.8296046,0.7137432,206.61
540.8919201,52.829595,0.713782,206.753
541.0432301,52.8295861,0.7138205,206.955
541.11885,52.8295765,0.7138591,207.096
541.1945,52.8295669,0.7138975,207.169
541.30797,52.8295569,0.7139361,207.281
541.42152,52.8295473,0.7139745,207.383
541.4970901,52.8295374,0.7140126,207.536
541.6105502,52.8295277,0.714051,207.636
541.76195,52.829518,0.714089,207.753
541.79967,52.8295084,0.7141269,207.912
541.91313,52.8294985,0.7141652,208.077
542.0266001,52.8294886,0.7142037,208.239
542.14009,52.8294789,0.7142419,208.438
542.21574,52.8294691,0.7142803,208.611
542.32921,52.8294594,0.7143186,208.778
542.44292,52.8294494,0.7143566,208.97
542.5183001,52.8294398,0.7143945,209.101
542.59395,52.8294301,0.7144324,209.209
542.7074101,52.8294204,0.7144703,209.344
542.82091,52.8294109,0.7145081,209.51
542.89656,52.8294013,0.7145459,209.655
543.01003,52.8293916,0.7145834,209.846
543.1234901,52.8293821,0.7146208,210.052
543.19911,52.8293726,0.7146584,210.234
543.3125801,52.829363,0.7146956,210.425
543.4260402,52.8293537,0.7147326,210.682
543.5395701,52.8293441,0.7147698,210.959
543.61519,52.8293345,0.7148067,211.232
543.7286501,52.829325,0.7148438,211.564
543.8043101,52.8293155,0.7148803,211.949
543.91783,52.829306,0.714917,212.365
544.0313001,52.8292966,0.7149536,212.762
544.10692,52.8292872,0.7149904,213.166
544.2204101,52.8292779,0.7150271,213.62
544.2960701,52.8292686,0.715064,214
544.4095302,52.8292592,0.7151009,214.385
544.523,52.8292499,0.7151378,214.783
544.6364901,52.8292405,0.7151748,215.178
544.7121401,52.8292311,0.7152119,215.538
544.8256102,52.8292218,0.7152493,215.9
544.9012301,52.8292125,0.7152863,216.244
545.0147002,52.8292031,0.7153234,216.569
545.12816,52.8291937,0.7153607,216.909
545.20381,52.8291842,0.715398,217.193
545.35518,52.8291748,0.7154351,217.483
545.43083,52.8291656,0.715472,217.727
545.50649,52.8291563,0.715509,217.963
545.6199501,52.829147,0.715546,218.108
545.7334101,52.8291379,0.7155828,218.305
545.8090401,52.8291287,0.7156197,218.461
545.9225001,52.8291198,0.7156562,218.692
545.9981501,52.8291108,0.7156928,218.926
546.1116199,52.8291017,0.7157289,219.163
546.2251101,52.8290925,0.7157652,219.374
546.30074,52.8290838,0.7158017,219.551
546.4142001,52.829075,0.715838,219.777
546.5277901,52.8290663,0.7158743,219.932
546.6032901,52.8290579,0.7159108,220.061
546.7167501,52.8290493,0.7159469,220.206
546.83022,52.8290408,0.7159832,220.348
546.9059901,52.8290325,0.7160196,220.48
547.01933,52.8290242,0.7160557,220.674
547.1328001,52.829016,0.7160919,220.842
547.20854,52.8290081,0.716128,221.011
547.3219202,52.8289996,0.7161642,221.174
547.3975401,52.8289914,0.7162003,221.345
547.51103,52.8289834,0.7162367,221.553
547.6245,52.8289755,0.7162729,221.718
547.70015,52.8289675,0.7163091,221.928
547.8136501,52.8289594,0.7163454,222.191
547.92717,52.8289515,0.7163815,222.489
548.0027602,52.8289436,0.7164177,222.723
548.11623,52.8289355,0.7164539,222.936
548.22984,52.8289275,0.7164902,223.106
548.3053401,52.8289194,0.7165263,223.309
548.4188101,52.8289114,0.7165626,223.478
548.4944601,52.8289031,0.7165983,223.601
548.64574,52.828895,0.7166343,223.743
548.72139,52.828887,0.7166704,223.895
548.79704,52.8288788,0.7167065,224.04
548.94835,52.8288706,0.7167425,224.142
549.0240002,52.8288627,0.7167783,224.271
549.0997801,52.8288546,0.7168143,224.391
549.2132401,52.8288466,0.7168499,224.521
549.32655,52.8288385,0.7168855,224.643
549.40224,52.8288307,0.7169214,224.784
549.5156701,52.8288227,0.716957,224.924
549.59132,52.8288148,0.7169926,225.097
549.7048202,52.8288069,0.7170278,225.279
549.81828,52.8287991,0.7170633,225.42
549.8939102,52.8287911,0.7170987,225.577
550.00737,52.8287833,0.7171342,225.73
550.1208401,52.8287755,0.7171695,225.865
550.19664,52.8287675,0.7172051,226.043
550.31007,52.8287595,0.7172408,226.252
550.42348,52.8287515,0.7172762,226.415
550.49913,52.8287436,0.7173116,226.595
550.6126001,52.8287353,0.7173475,226.796
550.72612,52.8287273,0.717383,227.007
550.8017402,52.8287191,0.7174186,227.203
550.91521,52.828711,0.7174542,227.372
551.0286701,52.8287028,0.7174899,227.536
551.1421402,52.8286948,0.7175253,227.722
551.2177901,52.8286868,0.717561,227.889
551.2934401,52.8286785,0.7175963,228.085
551.4069099,52.8286703,0.7176317,228.256
551.5581801,52.8286622,0.7176674,228.448
551.5959899,52.828654,0.7177029,228.603
551.70946,52.8286458,0.7177386,228.8
551.8229201,52.8286379,0.7177744,228.958
551.8985801,52.8286301,0.7178099,229.131
552.0120401,52.8286221,0.7178453,229.288
552.1255,52.8286143,0.7178811,229.38
552.23909,52.8286066,0.7179168,229.495
552.31462,52.8285986,0.7179523,229.575
552.4281201,52.8285907,0.7179883,229.661
552.50371,52.8285828,0.7180245,229.624
552.6172299,52.8285751,0.7180604,229.635
552.6928601,52.8285675,0.7180966,229.606
552.80632,52.82856,0.7181329,229.511
552.91979,52.8285522,0.7181692,229.513
553.0332801,52.8285446,0.7182055,229.525
553.1089001,52.8285369,0.718242,229.552
553.2224,52.8285291,0.7182783,229.503
553.33586,52.8285215,0.718315,229.465
553.41152,52.8285138,0.7183518,229.464
